Séance de Bourse,Open,Last,Plus haut,Plus bas,Cours Moy. Pondere,Nbre de Transactions,Quantity,Exch. Volume
28/07/2021,62.49,62.4,62.7,62.12,62.466,11,363,22675.22
29/07/2021,62.5,62.5,62.5,62.5,62.5,32,14094,880875
30/07/2021,62.49,62.5,62.68,62.49,62.502,23,1529,95566.24
02/08/2021,62.68,62.5,62.68,62.49,62.517,23,4406,275448.38
03/08/2021,62.5,62.5,62.5,62.4,62.487,22,1882,117600.9
04/08/2021,62.47,62.5,62.5,62.47,62.474,8,502,31361.8
05/08/2021,62.49,62.5,62.69,62.45,62.5,21,3269,204312.39
06/08/2021,62.65,62.65,62.65,62.65,62.65,4,200,12530
09/08/2021,62.59,62.59,62.59,62.59,62.59,9,298,18651.82
11/08/2021,62.45,62.5,62.5,62.45,62.489,7,636,39743.3
12/08/2021,62.46,63,63,62.45,62.683,19,1437,90075.03
16/08/2021,63,63,63,63,63,2,32,2016
17/08/2021,63.4,63.5,63.5,63.35,63.418,14,847,53715.2
18/08/2021,63.78,63.02,64.5,63.02,63.745,10,410,26135.56
19/08/2021,64.29,63.5,64.3,62.2,62.847,16,985,61904.18
20/08/2021,63.5,64.1,64.1,63.5,63.501,11,802,50927.6
23/08/2021,63.5,63.5,63.5,63.5,63.5,9,1128,71628
24/08/2021,63.5,63.5,63.99,63.5,63.501,7,400,25400.49
25/08/2021,63.4,63.5,63.5,63.2,63.474,24,1260,79977.6
26/08/2021,64,64,64,63.5,63.683,12,599,38146.4
27/08/2021,64,64.3,64.3,64,64.075,10,756,48440.5
30/08/2021,65,64.5,65,64.5,64.796,3,676,43802
31/08/2021,64.01,64.5,64.5,64.01,64.038,3,21,1344.8
01/09/2021,64.5,63.99,64.5,63.99,64.001,17,1562,99969
02/09/2021,63.98,63.5,63.98,63.2,63.733,18,908,57869.46
03/09/2021,64,63.97,64,63.5,63.508,6,356,22608.85
07/09/2021,63.9,63.5,63.9,63.5,63.519,36,3171,201418.9
08/09/2021,63.5,63.48,63.5,63.2,63.391,18,868,55023.74
09/09/2021,62.8,63.49,63.5,62.8,63.025,18,718,45251.69
10/09/2021,62.81,63.3,63.3,62.8,62.912,17,1239,77947.4
13/09/2021,63.4,62.9,63.4,62.9,63.158,26,2780,175578.05
14/09/2021,63.3,63,63.3,62.9,62.912,5,426,26800.3
15/09/2021,62.85,62.6,63,62.6,62.847,31,2647,166356.3
16/09/2021,62.99,62.8,63,62.5,62.525,41,8939,558912.52
17/09/2021,62.8,62.1,62.8,62.1,62.274,48,2943,183273.3
20/09/2021,62.1,62.1,62.1,62.02,62.041,17,1253,77737.46
29/09/2021,62.03,62.75,62.75,62.03,62.039,32,4918,305108.06
30/09/2021,62.75,62.7,62.75,62.05,62.302,12,467,29094.9
04/10/2021,62.49,62.49,62.49,62.49,62.49,2,103,6436.47
05/10/2021,62.25,62.2,62.5,62.12,62.208,32,6768,421022.96
06/10/2021,62.2,62.01,62.7,62.01,62.137,66,5817,361449.48
07/10/2021,62.02,62.01,62.7,62.01,62.038,39,6471,401450.18
08/10/2021,62.01,62,62.01,61.6,62.001,72,10735,665578.74
